# x 	 f(x) 
-10.00 	 -53.22 
-9.90 	 -52.29 
-9.80 	 -51.36 
-9.70 	 -50.44 
-9.60 	 -49.53 
-9.50 	 -48.62 
-9.40 	 -47.73 
-9.30 	 -46.84 
-9.20 	 -45.96 
-9.10 	 -45.09 
-9.00 	 -44.22 
-8.90 	 -43.36 
-8.80 	 -42.52 
-8.70 	 -41.67 
-8.60 	 -40.84 
-8.50 	 -40.01 
-8.40 	 -39.20 
-8.30 	 -38.38 
-8.20 	 -37.58 
-8.10 	 -36.79 
-8.00 	 -36.00 
-7.90 	 -35.22 
-7.80 	 -34.45 
-7.70 	 -33.68 
-7.60 	 -32.93 
-7.50 	 -32.18 
-7.40 	 -31.44 
-7.30 	 -30.71 
-7.20 	 -29.98 
-7.10 	 -29.26 
-7.00 	 -28.56 
-6.90 	 -27.85 
-6.80 	 -27.16 
-6.70 	 -26.47 
-6.60 	 -25.80 
-6.50 	 -25.12 
-6.40 	 -24.46 
-6.30 	 -23.81 
-6.20 	 -23.16 
-6.10 	 -22.52 
-6.00 	 -21.89 
-5.90 	 -21.26 
-5.80 	 -20.65 
-5.70 	 -20.04 
-5.60 	 -19.44 
-5.50 	 -18.85 
-5.40 	 -18.26 
-5.30 	 -17.68 
-5.20 	 -17.12 
-5.10 	 -16.55 
-5.00 	 -16.00 
-4.90 	 -15.45 
-4.80 	 -14.92 
-4.70 	 -14.38 
-4.60 	 -13.86 
-4.50 	 -13.35 
-4.40 	 -12.84 
-4.30 	 -12.34 
-4.20 	 -11.85 
-4.10 	 -11.36 
-4.00 	 -10.89 
-3.90 	 -10.42 
-3.80 	 -9.96 
-3.70 	 -9.51 
-3.60 	 -9.06 
-3.50 	 -8.62 
-3.40 	 -8.20 
-3.30 	 -7.77 
-3.20 	 -7.36 
-3.10 	 -6.95 
-3.00 	 -6.56 
-2.90 	 -6.16 
-2.80 	 -5.78 
-2.70 	 -5.41 
-2.60 	 -5.04 
-2.50 	 -4.68 
-2.40 	 -4.33 
-2.30 	 -3.98 
-2.20 	 -3.65 
-2.10 	 -3.32 
-2.00 	 -3.00 
-1.90 	 -2.69 
-1.80 	 -2.38 
-1.70 	 -2.08 
-1.60 	 -1.80 
-1.50 	 -1.51 
-1.40 	 -1.24 
-1.30 	 -0.97 
-1.20 	 -0.72 
-1.10 	 -0.46 
-1.00 	 -0.22 
-0.90 	 0.01 
-0.80 	 0.24 
-0.70 	 0.46 
-0.60 	 0.67 
-0.50 	 0.88 
-0.40 	 1.07 
-0.30 	 1.26 
-0.20 	 1.44 
-0.10 	 1.61 
0.00 	 1.78 
0.10 	 1.94 
0.20 	 2.08 
0.30 	 2.23 
0.40 	 2.36 
0.50 	 2.49 
0.60 	 2.60 
0.70 	 2.72 
0.80 	 2.82 
0.90 	 2.91 
1.00 	 3.00 
1.10 	 3.08 
1.20 	 3.15 
1.30 	 3.22 
1.40 	 3.27 
1.50 	 3.32 
1.60 	 3.36 
1.70 	 3.39 
1.80 	 3.42 
1.90 	 3.43 
2.00 	 3.44 
2.10 	 3.45 
2.20 	 3.44 
2.30 	 3.43 
2.40 	 3.40 
2.50 	 3.37 
2.60 	 3.34 
2.70 	 3.29 
2.80 	 3.24 
2.90 	 3.18 
3.00 	 3.11 
3.10 	 3.03 
3.20 	 2.95 
3.30 	 2.86 
3.40 	 2.76 
3.50 	 2.65 
3.60 	 2.54 
3.70 	 2.41 
3.80 	 2.28 
3.90 	 2.15 
4.00 	 2.00 
4.10 	 1.85 
4.20 	 1.68 
4.30 	 1.51 
4.40 	 1.34 
4.50 	 1.15 
4.60 	 0.96 
4.70 	 0.76 
4.80 	 0.55 
4.90 	 0.34 
5.00 	 0.11 
5.10 	 -0.12 
5.20 	 -0.36 
5.30 	 -0.61 
5.40 	 -0.86 
5.50 	 -1.12 
5.60 	 -1.40 
5.70 	 -1.67 
5.80 	 -1.96 
5.90 	 -2.25 
6.00 	 -2.56 
6.10 	 -2.86 
6.20 	 -3.18 
6.30 	 -3.51 
6.40 	 -3.84 
6.50 	 -4.18 
6.60 	 -4.53 
6.70 	 -4.88 
6.80 	 -5.25 
6.90 	 -5.62 
7.00 	 -6.00 
7.10 	 -6.39 
7.20 	 -6.78 
7.30 	 -7.18 
7.40 	 -7.60 
7.50 	 -8.01 
7.60 	 -8.44 
7.70 	 -8.87 
7.80 	 -9.32 
7.90 	 -9.76 
8.00 	 -10.22 
8.10 	 -10.69 
8.20 	 -11.16 
8.30 	 -11.64 
8.40 	 -12.13 
8.50 	 -12.62 
8.60 	 -13.13 
8.70 	 -13.64 
8.80 	 -14.16 
8.90 	 -14.69 
9.00 	 -15.22 
9.10 	 -15.77 
9.20 	 -16.32 
9.30 	 -16.87 
9.40 	 -17.44 
9.50 	 -18.01 
9.60 	 -18.60 
9.70 	 -19.19 
9.80 	 -19.78 
9.90 	 -20.39 
